County,State,Population,Murder,Rape^,Robbery,AggravatedAssault^^,Burglary,Violentcrimetotal,Larceny,MotorVehicleTheft,2019TotalIndex,%IndexChange18/19*,"IndexRatePer100,000",RateChange18/19*,Spending,Poverty
Alachua,Florida,"267,306",6,282,293,"1,184","1,008","1,472","5,643",594,"9,010",-7.7,"3,370.70",-9.1,$114.29 ,38.8
Baker,Florida,"28,249",0,14,7,100,63,114,181,31,396,3.4,"1,401.80",1.2,$191.06 ,32.8
Bay,Florida,"167,283",8,91,103,624,"1,097",723,"4,139",471,"6,533",-3,"3,905.40",5.1,$225.46 ,33.6
Bradford,Florida,"28,682",1,12,6,93,98,106,311,34,555,14.2,"1,935.00",13.4,$190.57 ,41.4
Brevard,Florida,"594,469",23,262,332,"1,607","2,019","1,892","9,322",928,"14,493",-3.2,"2,438.00",-5,$130.25 ,30.2
Broward,Florida,"1,919,644",111,688,"2,134","4,398","5,480","5,197","39,393","5,144","57,348",-2.2,"2,987.40",-3.3,$278.62 ,32.8
Calhoun,Florida,"14,067",1,0,1,34,35,35,65,14,150,5.6,"1,066.30",13.3,$144.55 ,36.6
Charlotte,Florida,"181,770",2,41,20,304,273,347,"1,708",133,"2,481",1.1,"1,364.90",-1,$447.60 ,31.6
Citrus,Florida,"147,744",4,29,40,300,394,333,"1,466",195,"2,428",-0.9,"1,643.40",-2.2,$262.21 ,38.7
Clay,Florida,"215,246",4,98,68,384,544,486,"2,522",189,"3,809",-7.4,"1,769.60",-8.8,$197.26 ,26.7
Collier,Florida,"376,706",9,127,147,613,469,749,"3,530",309,"5,204",1.2,"1,381.40",-1.3,$515.91 ,29.7
Columbia,Florida,"70,492",3,21,47,284,490,308,"1,124",63,"2,032",-3.6,"2,882.60",-4.6,$178.67 ,38
Miami-Dade,Florida,"2,812,130",202,955,"3,649","8,531","7,936","9,688","69,952","7,655","98,880",-1.7,"3,516.20",-2.8,$258.48 ,40.9
DeSoto,Florida,"36,065",3,19,13,124,177,146,391,50,777,-11.6,"2,154.40",-12.9,$198.38 ,55.7
Dixie,Florida,"16,610",1,14,2,72,88,87,46,15,238,-14.4,"1,432.90",-15,$286.13 ,46.6
Duval,Florida,"970,672",131,584,"1,331","4,041","5,096","4,756","23,581","2,946","37,710",0.2,"3,884.90",-1.6,$369.35 ,34
Escambia,Florida,"321,134",27,186,337,"1,227","1,828","1,440","6,724",650,"10,979",-3.4,"3,418.80",-4.1,$196.08 ,34.4
Flagler,Florida,"110,695",3,38,11,156,181,197,898,92,"1,379",-17,"1,245.80",-19.4,$226.40 ,34.4
Franklin,Florida,"12,273",0,1,0,58,33,59,169,9,270,-6.3,"2,200.00",-8.3,$384.93 ,41.1
Gadsden,Florida,"46,277",3,22,21,123,398,148,313,62,942,10.8,"2,035.60",14.5,$141.47 ,46
Gilchrist,Florida,"17,766",0,8,2,30,60,38,74,25,199,19.2,"1,120.10",16.9,$176.13 ,43.9
Glades,Florida,"13,121",0,2,0,22,20,24,93,12,149,-2,"1,135.60",-2.9,$404.47 ,43.7
Gulf,Florida,"13,082",1,1,1,33,58,35,125,13,232,23.4,"1,773.40",55.6,$387.29 ,34.4
Hamilton,Florida,"14,600",1,4,4,46,69,51,170,18,312,-10.1,"2,137.00",-10,$180.72 ,49.8
Hardee,Florida,"27,385",1,6,7,58,153,65,300,35,560,-6,"2,044.90",-6.3,$392.26 ,54.7
Hendry,Florida,"40,120",8,20,16,108,327,136,458,56,993,-4.3,"2,475.10",-5.6,$291.69 ,54
Hernando,Florida,"188,358",6,66,53,393,457,465,"1,945",188,"3,108",-6.7,"1,650.00",-8.1,$271.67 ,36
Highlands,Florida,"103,434",11,30,58,181,546,222,"1,709",86,"2,621",-3.2,"2,534.00",-4.1,$208.83 ,43.2
Hillsborough,Florida,"1,444,870",66,392,609,"2,589","2,689","3,047","15,575","1,681","23,601",-6.4,"1,633.40",-8.8,$292.49 ,33.7
Holmes,Florida,"20,049",1,12,3,59,57,72,97,12,241,-2.4,"1,202.10",-2,$218.50 ,47.1
IndianRiver,Florida,"154,939",6,36,31,279,248,321,"1,708",139,"2,447",-10.5,"1,579.30",-12.3,$193.26 ,32.2
Jackson,Florida,"46,969",0,6,7,87,108,93,131,29,368,-66.5,783.5,-64,$150.03 ,43.8
Jefferson,Florida,"14,776",1,2,3,69,84,72,118,19,296,-16.6,"2,003.20",-16.9,$254.95 ,38.2
Lafayette,Florida,"8,482",0,1,0,12,12,13,20,5,50,-18,589.5,-17.9,$124.49 ,46.3
Lake,Florida,"357,247",9,122,129,747,"1,306",878,"4,562",603,"7,478",-4,"2,093.20",-7.8,$151.00 ,32.5
Lee,Florida,"735,148",23,246,386,"1,324","1,343","1,593","6,792",755,"10,869",-15.9,"1,478.50",-18.4,$182.85 ,32
Leon,Florida,"296,499",21,237,285,"1,156","1,535","1,414","7,342",826,"11,402",-12.5,"3,845.50",-13.7,$140.98 ,37.1
Levy,Florida,"41,330",1,19,2,455,277,475,337,73,"1,164",-16,"2,816.40",-16.6,$162.58 ,48.1
Liberty,Florida,"8,772",1,0,1,17,22,18,35,9,85,51.8,969,54.3,$240.00 ,52
Madison,Florida,"19,570",0,14,3,94,71,108,101,2,285,-13.6,"1,456.30",-14.1,$303.55 ,49.1
