"Total Index Crime for Florida by County and Offense, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,
Updated 04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,
County,Population,Murder,Rape ^,Robbery,Aggravated Assault^^,Burglary,Larceny,Motor Vehicle Theft,2019 Total Index,% Index Change 18/19*,"Index Rate Per 100,000",Rate Change 18/19*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Alachua County,"267,306",6,282,293,"1,184","1,008","5,643",594,"9,010",-7.7,"3,370.7",-9.1,,,,,,,,,,,,,,
Baker County,"28,249",0,14,7,100,63,181,31,396,3.4,"1,401.8",1.2,,,,,,,,,,,,,,
Bay County,"167,283",8,91,103,624,"1,097","4,139",471,"6,533",-3.0,"3,905.4",5.1,,,,,,,,,,,,,,
Bradford County,"28,682",1,12,6,93,98,311,34,555,14.2,"1,935.0",13.4,,,,,,,,,,,,,,
Brevard County,"594,469",23,262,332,"1,607","2,019","9,322",928,"14,493",-3.2,"2,438.0",-5.0,,,,,,,,,,,,,,
Broward County,"1,919,644",111,688,"2,134","4,398","5,480","39,393","5,144","57,348",-2.2,"2,987.4",-3.3,,,,,,,,,,,,,,
Calhoun County,"14,067",1,0,1,34,35,65,14,150,5.6,"1,066.3",13.3,,,,,,,,,,,,,,
Charlotte County,"181,770",2,41,20,304,273,"1,708",133,"2,481",1.1,"1,364.9",-1.0,,,,,,,,,,,,,,
Citrus County,"147,744",4,29,40,300,394,"1,466",195,"2,428",-0.9,"1,643.4",-2.2,,,,,,,,,,,,,,
Clay County,"215,246",4,98,68,384,544,"2,522",189,"3,809",-7.4,"1,769.6",-8.8,,,,,,,,,,,,,,
Collier County,"376,706",9,127,147,613,469,"3,530",309,"5,204",1.2,"1,381.4",-1.3,,,,,,,,,,,,,,
Columbia County,"70,492",3,21,47,284,490,"1,124",63,"2,032",-3.6,"2,882.6",-4.6,,,,,,,,,,,,,,
Miami-Dade County,"2,812,130",202,955,"3,649","8,531","7,936","69,952","7,655","98,880",-1.7,"3,516.2",-2.8,,,,,,,,,,,,,,
DeSoto County,"36,065",3,19,13,124,177,391,50,777,-11.6,"2,154.4",-12.9,,,,,,,,,,,,,,
Dixie County,"16,610",1,14,2,72,88,46,15,238,-14.4,"1,432.9",-15.0,,,,,,,,,,,,,,
Duval County,"970,672",131,584,"1,331","4,041","5,096","23,581","2,946","37,710",0.2,"3,884.9",-1.6,,,,,,,,,,,,,,
Escambia County,"321,134",27,186,337,"1,227","1,828","6,724",650,"10,979",-3.4,"3,418.8",-4.1,,,,,,,,,,,,,,
Flagler County,"110,695",3,38,11,156,181,898,92,"1,379",-17.0,"1,245.8",-19.4,,,,,,,,,,,,,,
Franklin County,"12,273",0,1,0,58,33,169,9,270,-6.3,"2,200.0",-8.3,,,,,,,,,,,,,,
Gadsden County,"46,277",3,22,21,123,398,313,62,942,10.8,"2,035.6",14.5,,,,,,,,,,,,,,
Gilchrist County,"17,766",0,8,2,30,60,74,25,199,19.2,"1,120.1",16.9,,,,,,,,,,,,,,
Glades County,"13,121",0,2,0,22,20,93,12,149,-2.0,"1,135.6",-2.9,,,,,,,,,,,,,,
Gulf County,"13,082",1,1,1,33,58,125,13,232,23.4,"1,773.4",55.6,,,,,,,,,,,,,,
Hamilton County,"14,600",1,4,4,46,69,170,18,312,-10.1,"2,137.0",-10.0,,,,,,,,,,,,,,
Hardee County,"27,385",1,6,7,58,153,300,35,560,-6.0,"2,044.9",-6.3,,,,,,,,,,,,,,
Hendry County,"40,120",8,20,16,108,327,458,56,993,-4.3,"2,475.1",-5.6,,,,,,,,,,,,,,
Hernando County,"188,358",6,66,53,393,457,"1,945",188,"3,108",-6.7,"1,650.0",-8.1,,,,,,,,,,,,,,
Highlands County,"103,434",11,30,58,181,546,"1,709",86,"2,621",-3.2,"2,534.0",-4.1,,,,,,,,,,,,,,
Hillsborough County,"1,444,870",66,392,609,"2,589","2,689","15,575","1,681","23,601",-6.4,"1,633.4",-8.8,,,,,,,,,,,,,,
Holmes County,"20,049",1,12,3,59,57,97,12,241,-2.4,"1,202.1",-2.0,,,,,,,,,,,,,,
Indian River County,"154,939",6,36,31,279,248,"1,708",139,"2,447",-10.5,"1,579.3",-12.3,,,,,,,,,,,,,,
Jackson County,"46,969",0,6,7,87,108,131,29,368,-66.5,783.5,-64.0,,,,,,,,,,,,,,
