,county,state,region,poverty_pct
1,Autauga,Alabama,South,12.1
2,Baldwin,Alabama,South,10.1
3,Barbour,Alabama,South,27.1
4,Bibb,Alabama,South,20.3
5,Blount,Alabama,South,16.3
6,Bullock,Alabama,South,30
7,Butler,Alabama,South,21.6
8,Calhoun,Alabama,South,17.2
9,Chambers,Alabama,South,19.6
10,Cherokee,Alabama,South,15.9
11,Chilton,Alabama,South,16
12,Choctaw,Alabama,South,22.6
13,Clarke,Alabama,South,18.4
14,Clay,Alabama,South,16.6
15,Cleburne,Alabama,South,13.3
16,Coffee,Alabama,South,15
17,Colbert,Alabama,South,14.6
18,Conecuh,Alabama,South,22.2
19,Coosa,Alabama,South,17.1
20,Covington,Alabama,South,17.2
21,Crenshaw,Alabama,South,16.8
22,Cullman,Alabama,South,12.2
23,Dale,Alabama,South,18.1
24,Dallas,Alabama,South,26
25,DeKalb,Alabama,South,18.2
26,Elmore,Alabama,South,11.4
27,Escambia,Alabama,South,20.5
28,Etowah,Alabama,South,18.8
29,Fayette,Alabama,South,17
30,Franklin,Alabama,South,16.1
31,Geneva,Alabama,South,16.1
32,Greene,Alabama,South,31.7
33,Hale,Alabama,South,20.5
34,Henry,Alabama,South,17.2
35,Houston,Alabama,South,19.4
36,Jackson,Alabama,South,14.7
37,Jefferson,Alabama,South,16.2
38,Lamar,Alabama,South,15.3
39,Lauderdale,Alabama,South,15.7
40,Lawrence,Alabama,South,17.7
41,Lee,Alabama,South,15.5
42,Limestone,Alabama,South,12
43,Lowndes,Alabama,South,26.6
44,Macon,Alabama,South,29.3
45,Madison,Alabama,South,11.5
46,Marengo,Alabama,South,24.8
47,Marion,Alabama,South,16.9
48,Marshall,Alabama,South,15.7
49,Mobile,Alabama,South,17.7
50,Monroe,Alabama,South,23.3
51,Montgomery,Alabama,South,15.8
52,Morgan,Alabama,South,13.7
53,Perry,Alabama,South,33.9
54,Pickens,Alabama,South,24.3
55,Pike,Alabama,South,21.8
56,Randolph,Alabama,South,17.5
57,Russell,Alabama,South,18.9
58,St. Clair,Alabama,South,11.2
59,Shelby,Alabama,South,6.2
60,Sumter,Alabama,South,36.4
61,Talladega,Alabama,South,17.4
62,Tallapoosa,Alabama,South,16
63,Tuscaloosa,Alabama,South,16.2
64,Walker,Alabama,South,17.3
65,Washington,Alabama,South,18.6
66,Wilcox,Alabama,South,32.5
