,location,total_poverty_estimate
0,"Aberdeen, SD",41450.0
1,"Aberdeen, WA",68852.0
2,"Abilene, TX ",156492.0
3,"Ada, OK",36923.0
4,"Adjuntas, PR",18125.0
5,"Adrian, MI",93387.0
6,"Aguadilla-Isabela, PR ",304964.0
7,"Akron, OH ",687835.0
8,"Alamogordo, NM",62297.0
9,"Albany, GA ",147567.0
10,"Albany, OR ",121504.0
11,"Albany-Schenectady-Troy, NY ",849542.0
12,"Albemarle, NC",59171.0
13,"Albert Lea, MN",29943.0
14,"Albertville, AL",93847.0
15,"Albuquerque, NM ",898151.0
16,"Alexander City, AL",40078.0
17,"Alexandria, LA ",146728.0
18,"Alexandria, MN",36685.0
19,"Alice, TX",40678.0
20,"Allentown-Bethlehem-Easton, PA-NJ ",810891.0
21,"Alma, MI",35314.0
22,"Alpena, MI",28009.0
23,"Altoona, PA ",120881.0
24,"Altus, OK",24526.0
25,"Amarillo, TX ",252899.0
26,"Americus, GA",33487.0
27,"Ames, IA ",86140.0
28,"Amsterdam, NY",48412.0
29,"Anchorage, AK ",390295.0
30,"Andrews, TX",17711.0
31,"Angola, IN",32821.0
32,"Ann Arbor, MI ",346217.0
33,"Anniston-Oxford-Jacksonville, AL ",111981.0
34,"Appleton, WI ",230781.0
35,"Arcadia, FL",34529.0
36,"Ardmore, OK",47537.0
37,"Arecibo, PR ",182951.0
38,"Arkadelphia, AR",19658.0
39,"Arkansas City-Winfield, KS",33388.0
40,"Asheville, NC ",440256.0
41,"Ashland, OH",51000.0
42,"Ashtabula, OH",94804.0
43,"Astoria, OR",37954.0
44,"Atchison, KS",15022.0
45,"Athens, OH",56175.0
46,"Athens, TN",51312.0
47,"Athens, TX",78936.0
48,"Athens-Clarke County, GA ",193852.0
49,"Atlanta-Sandy Springs-Roswell, GA ",5682907.0
50,"Atlantic City-Hammonton, NJ ",262851.0
51,"Atmore, AL",34383.0
52,"Auburn, IN",42150.0
53,"Auburn, NY",73276.0
54,"Auburn-Opelika, AL ",153342.0
55,"Augusta-Richmond County, GA-SC ",578058.0
56,"Augusta-Waterville, ME",117730.0
57,"Austin, MN",38893.0
58,"Austin-Round Rock, TX ",2017378.0
59,"Bainbridge, GA",25613.0
60,"Bakersfield, CA ",851826.0
61,"Baltimore-Columbia-Towson, MD ",2724252.0
62,"Bangor, ME ",145211.0
63,"Baraboo, WI",62601.0
64,"Bardstown, KY",44907.0
65,"Barnstable Town, MA ",210671.0
66,"Barre, VT",56211.0
67,"Bartlesville, OK",51029.0
68,"Bastrop, LA",25157.0
69,"Batavia, NY",57240.0
70,"Batesville, AR",36173.0
71,"Baton Rouge, LA ",806764.0
72,"Battle Creek, MI ",130682.0
73,"Bay City, MI ",103437.0
74,"Bay City, TX",36261.0
75,"Beatrice, NE",21141.0
76,"Beaumont-Port Arthur, TX ",391208.0
77,"Beaver Dam, WI",83093.0
